school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Lewis and Clark High School,Spokane School District,9/22/2003,2003-2004,2003,11:10:00,Monday,Spokane,Washington,public,1992,0,0,0,indiscriminate,16,m,w,student,0.0,0,9 millimeter semiautomatic pistol,home,47.652394,-117.419841,92.0,9,12,545.0,Spokane County,12.0,0
Rocori High School,Rocori,9/24/2003,2003-2004,2003,11:38:00,Wednesday,Cold Spring,Minnesota,public,831,2,0,2,targeted,15,m,w,student,0.0,0,.22 caliber pistol,father,45.466258,-94.426618,48.0,8,12,100.0,Stearns County,31.0,0
Burns Middle School,Cleveland County Schools,9/25/2003,2003-2004,2003,08:00:00,Thursday,Lawndale,North Carolina,public,1049,0,0,0,indiscriminate,13,m,Unknown,student,0.0,1,9mm handgun,Unknown,35.425762,-81.539104,63.0,6,8,510.0,Cleveland County,31.0,0
Rio Cazadero High School,Elk Grove Unified,10/1/2003,2003-2004,2003,09:00:00,Wednesday,Sacramento,California,public,317,0,2,2,targeted,19,m,Unknown,multiple officers,0.0,0,officer weapons,police,38.469639,-121.435306,10.8,9,12,99.0,Sacramento County,21.0,0
East Mecklenburg High School,Charlotte-Mecklenburg Schools,11/13/2003,2003-2004,2003,11:45:00,Thursday,Charlotte,North Carolina,public,2275,0,1,1,accidental,15,m,Unknown,student,0.0,1,.25-caliber handgun,Unknown,35.175976,-80.756579,113.0,9,12,709.0,Mecklenburg County,11.0,0
Ballou High School,District Of Columbia Pub Schls,2/2/2004,2003-2004,2004,10:30:00,Monday,Washington,District of Columbia,public,1090,1,1,2,targeted,18,m,b,student,0.0,1,.380-caliber pistol,puchased by shooter and friends,38.839005,-77.001667,68.0,9,12,897.0,District of Columbia,11.0,0
Columbia High School,East Greenbush Central School District,2/9/2004,2003-2004,2004,10:30:00,Monday,East Greenbush,New York,public,1455,0,1,1,indiscriminate,16,m,w,student,0.0,0,12-gauge Winchester shotgun,Unknown,42.62068,-73.690848,55.3,9,12,488.0,RENSSELAER,21.0,0
T.M. Peirce Elementary School,Philadelphia City SD,2/11/2004,2003-2004,2004,08:30:00,Wednesday,Philadelphia,Pennsylvania,public,453,1,1,2,targeted,19,m,b,none,0.0,1,"carbine rifle, assault weapon",Unknown,39.998621,-75.168248,26.0,KG,5,450.0,Philadelphia County,11.0,1
Castlemont High School,Oakland Unified,6/9/2004,2003-2004,2004,12:22:00,Wednesday,Oakland,California,public,1467,0,2,2,targeted,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,37.75982,-122.16302,56.5,9,12,340.0,Alameda County,11.0,0
Proviso East High School,Proviso Twp H S Dist 209,8/30/2004,2004-2005,2004,14:30:00,Monday,Maywood,Illinois,public,2068,1,0,1,targeted,19,m,b,none,0.0,1,handgun,Unknown,41.88062,-87.83382,110.0,9,12,637.0,Cook County,21.0,0
